Time,Pre,Actual
2020/10/3,43.954266,45.945312
2020/10/4,48.539185,44.234375
2020/10/5,44.341755,44.703125
2020/10/6,42.49999,48.875
2020/10/7,45.768,46.53125
2020/10/8,42.54823,43.929688
2020/10/9,41.185722,44.414062
2020/10/10,41.437744,48.335938
2020/10/11,45.404057,48.867188
2020/10/12,49.22903,50.375
2020/10/13,55.266117,54.28125
2020/10/14,59.984043,65.171875
2020/10/15,66.3375,69.92969
2020/10/16,67.39205,69.40625
2020/10/17,60.91174,62.875
2020/10/18,56.378605,57.351562
2020/10/19,51.595707,51.75
2020/10/20,45.99987,48.859375
2020/10/21,43.96011,44.382812
2020/10/22,39.039345,39.976562
2020/10/23,35.254566,35.976562
2020/10/24,32.090687,32.367188
2020/10/25,29.929739,31.578125
2020/10/26,29.85715,29.414062
2020/10/27,28.514828,27.101562
2020/10/28,27.233425,28.828125
2020/10/29,26.426403,27.539062
2020/10/30,26.10343,25.921875
2020/10/31,26.085554,26.484375
2020/11/1,24.450796,24.554688
2020/11/2,22.422787,22.117188
2020/11/3,20.198225,20.445312
2020/11/4,19.662827,18.71875
2020/11/5,17.981745,18.726562
2020/11/6,18.598146,18.367188
2020/11/7,17.041485,16.921875
2020/11/8,15.493433,15.25
2020/11/9,14.130872,13.921875
2020/11/10,12.84423,12.6953125
2020/11/11,12.503837,11.84375
2020/11/12,11.149451,11.234375
2020/11/13,10.603313,10.65625
2020/11/14,10.407104,10.1875
2020/11/15,9.657177,9.859375
2020/11/16,9.422322,9.640625
2020/11/17,9.858069,10.1796875
2020/11/18,11.414653,17.671875
2020/11/19,16.542364,19.109375
2020/11/20,18.247648,17.703125
2020/11/21,20.984797,19.398438
2020/11/22,18.311136,18.257812
2020/11/23,15.158926,16.4375
2020/11/24,13.5425825,14.8359375
2020/11/25,12.749574,13.5859375
2020/11/26,11.66425,12.3359375
2020/11/27,11.282887,11.4375
2020/11/28,10.397819,10.921875
2020/11/29,9.885426,10.390625
2020/11/30,10.221441,10.0390625
2020/12/1,11.761699,9.9375
2020/12/2,11.086137,9.7578125
2020/12/3,8.765038,9.46875
2020/12/4,7.8523664,9.2421875
2020/12/5,7.5841208,9.1015625
2020/12/6,7.7025175,9
2020/12/7,8.177629,8.875
2020/12/8,7.84138,8.7734375
2020/12/9,8.240724,8.6875
2020/12/10,8.0508585,8.6015625
2020/12/11,7.9611244,8.5234375
2020/12/12,8.230205,8.4375
2020/12/13,8.434861,8.3515625
2020/12/14,7.5239544,8.2734375
2020/12/15,7.223893,8.1875
2020/12/16,7.341302,8.109375
2020/12/17,7.156163,8.03125
2020/12/18,6.8740053,7.953125
2020/12/19,6.789584,7.875
2020/12/20,6.8511057,7.796875
2020/12/21,6.9006224,7.71875
2020/12/22,6.962738,7.640625
2020/12/23,7.105132,7.5703125
2020/12/24,7.143011,7.4921875
2020/12/25,7.150119,7.421875
2020/12/26,7.2408915,7.375
2020/12/27,7.3172636,7.296875
2020/12/28,7.4441004,7.25
2020/12/29,7.0899086,7.1640625
2020/12/30,6.7701187,7.09375
2020/12/31,6.6863794,7.0234375
2021/1/1,6.519122,6.953125
2021/1/2,6.5850496,6.890625
2021/1/3,6.6399965,6.8203125
2021/1/4,6.770486,6.7578125
2021/1/5,6.78664,6.6875
2021/1/6,6.569206,6.625
2021/1/7,6.477373,6.5625
2021/1/8,6.4226465,6.5
2021/1/9,6.3141947,6.4375
2021/1/10,6.3228035,6.375
2021/1/11,6.1876316,6.3125
2021/1/12,6.067936,6.25
2021/1/13,6.0605917,6.1875
2021/1/14,6.169773,6.140625
2021/1/15,6.3103533,6.109375
2021/1/16,6.6149406,6.03125
2021/1/17,6.244234,5.96875
2021/1/18,6.0687075,5.90625
2021/1/19,6.203521,5.859375
2021/1/20,6.2236595,5.921875
2021/1/21,6.432789,6.109375
2021/1/22,6.4502277,6.546875
2021/1/23,6.66092,7.46875
2021/1/24,7.742153,8.375
2021/1/25,8.88973,8.71875
2021/1/26,8.288535,8.0625
2021/1/27,8.035855,7.625
2021/1/28,7.531623,7.203125
2021/1/29,7.2022724,6.90625
2021/1/30,7.179408,6.65625
2021/1/31,6.719557,6.5
2021/2/1,6.6534204,7.109375
2021/2/2,7.058299,7.515625
2021/2/3,7.6523867,8.046875
2021/2/4,7.9122725,7.96875
2021/2/5,8.191289,7.609375
2021/2/6,7.5010986,7.890625
2021/2/7,7.82487,9.65625
2021/2/8,9.121805,10.96875
2021/2/9,10.128354,11.96875
2021/2/10,11.140506,12.625
2021/2/11,11.715688,14.96875
2021/2/12,14.0899,18.21875
2021/2/13,17.351103,25.640625
2021/2/14,24.089933,26.78125
2021/2/15,24.87083,25.9375
2021/2/16,24.200068,23.75
2021/2/17,21.947712,21.65625
2021/2/18,19.985899,20.15625
2021/2/19,18.621954,18.90625
2021/2/20,17.341993,18.28125
2021/2/21,16.754019,18.46875
2021/2/22,16.918192,18.65625
2021/2/23,17.240227,19.09375
2021/2/24,18.23912,21.625
2021/2/25,22.054958,22.90625
2021/2/26,22.437248,21.5
2021/2/27,20.807028,19.46875
2021/2/28,18.765799,18.5625
2021/3/1,16.86236,16.71875
2021/3/2,14.989865,14.8125
2021/3/3,13.913055,13.9375
2021/3/4,13.265137,13.65625
2021/3/5,12.967296,17.3125
2021/3/6,16.133991,21.8125
2021/3/7,20.621042,23.21875
2021/3/8,22.114794,26.1875
2021/3/9,24.412619,25.0625
2021/3/10,23.190872,24.6875
2021/3/11,23.154453,25.3125
2021/3/12,23.198135,24.28125
2021/3/13,22.57046,22.65625
2021/3/14,20.735538,21.28125
2021/3/15,19.850197,20.0625
2021/3/16,18.269884,18.21875
2021/3/17,17.631968,17.46875
2021/3/18,17.177485,18.09375
2021/3/19,18.7457,18.53125
2021/3/20,18.665213,18.65625
